mz,RT,intensity,intensity_cor,species
660.3,4.03,15801,15801,0
815,3.36,15683,15683,0
593,29.38,15452,15452,0
989.7,5.5,15419,15419,0
1287.8,19.52,15369,15369,0
456.9,11.22,15092,15092,0
878.4,6.5,15077,15077,0
391.3,29.63,15035,15035,0
690,12.77,14695,14695,0
829.5,13,14637,14637,0
677,5.61,14624,14624,0
728.5,12.04,14561,14561,0
1084.8,12.63,14546,14546,0
1204.7,19.65,14280,14280,0
401.6,9.75,14261,14261,0
1373.8,20.39,14189,14189,0
513.4,12.51,14169,14169,0
1370.4,9.42,14157,14157,0
515.5,9.15,14012,14012,0
479.8,6.28,13897,13897,0
350.8,11.54,13845,13845,0
957.5,15.16,13789,13789,0
816.8,3.25,13688,13688,0
631.5,19.56,13517,13517,0
464.9,11.68,13400,13400,0
597.5,19.46,13343,13343,0
326.2,11.97,13209,13209,0
1374.8,20.39,13082,13082,0
819.8,3.25,13037,13037,0
465.8,10.8,12873,12873,0
409.3,9.19,12853,12853,0
1331.8,19.57,12808,12808,0
819.8,21.71,12774,12774,0
798,21.71,12704,12704,0
636.7,21.68,12652,12652,0
820.5,18.56,12594,12594,0
1172.4,8.46,12551,12551,0
775.7,21.72,12439,12439,0
386.4,3.79,12307,12307,0
836.4,10.37,12297,12297,0
472.4,5.99,12206,12206,0
657.8,20.15,12202,12202,0
829.5,13.24,12177,12177,0
1130.1,16.83,12172,12172,0
1012.9,7.79,12167,12167,0
389.9,7.22,12153,12153,0
913.7,15.87,12089,12089,0
445.3,5.65,11974,11974,0
1212.8,14.13,11891,11891,0
888.3,15.61,11877,11877,0
878,3.79,11872,11872,0
1330.8,20.4,11766,11766,0
1078.8,3.47,11761,11761,0
865.5,13.55,11742,11742,0
1199,7.08,11690,11690,0
542.4,3.81,11677,11677,0
1423.1,10.51,11667,11667,0
1391,13.9,11585,11585,0
458.1,10.92,11545,11545,0
865.7,11.29,11543,11543,0
933.5,19.4,11497,11497,0
1098.3,6.53,11453,11453,0
936.4,5.52,11438,11438,0
1357.2,6.16,11329,11329,0
1348.9,19.88,11286,11286,0
1421.6,3.43,11276,11276,0
947.1,29.79,11268,11268,0
1391.1,29.54,11244,11244,0
1248.9,19.65,11227,11227,0
1134,5.07,11213,11213,0
990.1,16.37,11141,11141,0
541.1,9.31,10982,10982,0
489.9,3.08,10978,10978,0
1123.6,11.08,10928,10928,0
508,11.75,10884,10884,0
1298.8,19.63,10868,10868,0
919.9,9.2,10839,10839,0
826.6,13.58,10782,10782,0
753,22.95,10779,10779,0
725,21.5,10746,10746,0
1299.8,19.63,10742,10742,0
868.6,12.38,10574,10574,0
865.5,15.78,10566,10566,0
920,14.34,10539,10539,0
1208.8,9.45,10525,10525,0
1218,3.13,10423,10423,0
532.2,10.5,10404,10404,0
507.4,18.53,10391,10391,0
394.2,18.61,10329,10329,0
713.3,13.62,10317,10317,0
684.3,27.1,10316,10316,0
428.4,11.52,10269,10269,0
1153.4,7.04,10195,10195,0
732.3,21.81,10151,10151,0
812.1,22.42,10146,10146,0
514.8,12.45,10109,10109,0
469.4,5.46,10086,10086,0
866.6,10.62,10068,10068,0
1304.8,15.45,10061,10061,0
1047,6.62,10035,10035,0
1300.8,19.88,242099,242099,0
1301.8,19.87,194194,194194,0
1314.8,20.11,191879,191879,0
843.5,13.57,167978,167978,0
1315.8,20.1,157120,157120,0
1345.8,19.87,124459,124459,0
597.5,19.47,109056,109056,0
552.5,19.48,98552,98552,0
1359.8,20.13,96782,96782,0
1346.8,19.89,94589,94589,0
1328.8,20.4,92041,92041,0
844.5,13.58,89379,89379,0
1360.8,20.15,81100,81100,0
1302.8,19.88,79446,79446,0
1322.8,19.87,77154,77154,0
401.4,9.49,72812,72812,0
1329.8,20.4,72267,72267,0
458.6,11,68726,68726,0
1323.7,19.89,68597,68597,0
1316.7,20.1,64462,64462,0
631.5,19.55,61902,61902,0
514.5,12.48,61816,61816,0
466,10.64,61401,61401,0
1336.8,20.11,60617,60617,0
586.5,19.55,60540,60540,0
514.7,12.37,60078,60078,0
841.5,13.75,53499,53499,0
956.6,15.19,53224,53224,0
597.5,19.65,52134,52134,0
401.3,9.57,50854,50854,0
458.8,10.95,50712,50712,0
1337.7,20.13,48986,48986,0
507.5,11.74,47778,47778,0
857.5,14.35,46031,46031,0
552.4,13.6,45141,45141,0
1373.8,20.41,43511,43511,0
1322.7,19.97,42514,42514,0
730.5,11.93,42477,42477,0
235.4,6.46,40682,40682,0
1347.8,19.87,38894,38894,0
1103.8,19.46,38706,38706,0
999.3,13.06,38243,38243,0
708.3,6.26,38231,38231,0
942.6,14.3,37097,37097,0
553.4,19.48,35610,35610,0
1361.8,20.08,35497,35497,0
888.4,15.16,35022,35022,0
957.6,15.24,34535,34535,0
747.8,29.53,33726,33726,0
408.4,10.09,32773,32773,0
1104.8,19.47,31889,31889,0
1104.7,19.49,31492,31492,0
439.3,13.58,31269,31269,0
1374.8,20.41,30992,30992,0
632.5,19.56,30767,30767,0
574.5,19.49,30483,30483,0
954.6,15.41,29803,29803,0
865.3,15.42,29445,29445,0
865.3,15.42,29445,29445,0
1330.8,20.48,29359,29359,0
260.6,4.16,29200,29200,0
845.5,13.61,28924,28924,0
842,4.46,28155,28155,0
1434.7,9.41,27648,27648,0
